,x,y,z,bin,gc_content_percentage
336,-0.0496,-0.1787,0.8531,185500000,37.12
337,-0.0574,-0.1486,0.7919,186000000,36.24
338,0.0002,-0.1371,0.7992,186500000,37.07
339,0.0336,-0.1358,0.8243,187000000,35.73
340,0.0298,-0.1305,0.8588,187500000,35.71
341,0.0028,-0.1132,0.8739,188000000,34.37
342,-0.0282,-0.1098,0.8644,188500000,34.31
343,-0.0122,-0.0797,0.8566,189000000,33.94
344,-0.0226,-0.0637,0.8182,189500000,33.97
345,-0.0211,-0.0636,0.7808,190000000,33.31
346,-0.0167,-0.0444,0.737,190500000,33.88
347,0.014,-0.0251,0.6979,191000000,34.26
348,0.0141,-0.009,0.6542,191500000,34.58
349,-0.0003,-0.0063,0.613,192000000,34.67
350,0.026,0.0057,0.6059,192500000,37.69
351,0.0036,0.0271,0.5529,193000000,36.91
352,-0.0176,0.0346,0.5017,193500000,35.88
353,-0.0676,0.052,0.415,194000000,35.08
354,-0.1164,0.0733,0.3195,194500000,33.91
355,-0.1576,0.0829,0.2398,195000000,33.94
356,-0.203,0.109,0.2245,195500000,34.46
357,-0.2466,0.107,0.2238,196000000,34.47
358,-0.2868,0.1227,0.254,196500000,35.31
359,-0.315,0.1124,0.2768,197000000,36.04
360,-0.3275,0.1092,0.3225,197500000,36.41
361,-0.3198,0.0775,0.381,198000000,36.64
362,-0.3708,0.0918,0.3691,198500000,35.36
363,-0.4082,0.0687,0.3517,199000000,35.86
364,-0.4147,0.039,0.379,199500000,38.2
365,-0.3809,0.0347,0.452,200000000,41.23
366,-0.3541,0.0081,0.5348,200500000,42.45
367,-0.3229,-0.0016,0.5774,201000000,50.74
368,-0.3371,0.0157,0.6135,201500000,47.0
369,-0.3051,-0.0107,0.6418,202000000,46.86
370,-0.3356,-0.0238,0.6601,202500000,44.64
371,-0.3826,-0.0005,0.6816,203000000,47.69
372,-0.4295,0.0165,0.6777,203500000,45.06
373,-0.4641,0.0146,0.7171,204000000,48.55
374,-0.4738,0.0343,0.6951,204500000,46.55
375,-0.4793,0.078,0.6449,205000000,47.89
376,-0.4543,0.1009,0.5989,205500000,46.69
377,-0.4147,0.1169,0.6285,206000000,43.78
378,-0.3825,0.0857,0.727,206500000,45.71
379,-0.3364,0.0471,0.7584,207000000,39.32
380,-0.3694,0.0556,0.7986,207500000,41.56
381,-0.3844,0.114,0.8009,208000000,44.69
382,-0.368,0.1028,0.8444,208500000,40.16
383,-0.332,0.1064,0.8619,209000000,41.3
384,-0.2879,0.089,0.8515,209500000,43.06
385,-0.27,0.1071,0.8809,210000000,40.26
386,-0.2402,0.0977,0.8438,210500000,41.83
387,-0.2376,0.1296,0.8593,211000000,41.1
388,-0.2492,0.1538,0.8324,211500000,43.19
389,-0.2563,0.2086,0.7592,212000000,42.73
390,-0.2569,0.232,0.7929,212500000,43.52
391,-0.2392,0.229,0.835,213000000,40.13
392,-0.1943,0.2311,0.8173,213500000,41.45
393,-0.1576,0.2138,0.7959,214000000,41.03
394,-0.132,0.2537,0.8182,214500000,39.31
395,-0.1008,0.2861,0.8273,215000000,36.76
396,-0.1073,0.3097,0.8097,215500000,36.77
397,-0.081,0.3061,0.7775,216000000,36.08
398,-0.0715,0.3027,0.7262,216500000,37.49
399,-0.0631,0.3037,0.6862,217000000,38.62
400,-0.0626,0.3022,0.6011,217500000,36.79
401,-0.0947,0.2885,0.6092,218000000,38.5
402,-0.122,0.2416,0.6207,218500000,38.3
403,-0.1306,0.2759,0.5356,219000000,36.85
404,-0.1328,0.3066,0.4905,219500000,39.35
405,-0.1263,0.3586,0.4921,220000000,40.02
406,-0.092,0.3752,0.5084,220500000,40.61
407,-0.1058,0.3924,0.5525,221000000,38.32
408,-0.1425,0.4121,0.5482,221500000,39.79
409,-0.1491,0.4193,0.6078,222000000,41.1
410,-0.1574,0.4022,0.6474,222500000,38.75
411,-0.1695,0.4331,0.6822,223000000,44.85
412,-0.179,0.4668,0.6657,223500000,39.94
413,-0.2178,0.4658,0.6792,224000000,42.02
414,-0.2366,0.4904,0.6325,224500000,42.59
415,-0.2836,0.4932,0.6469,225000000,39.02
416,-0.3133,0.4993,0.6797,225500000,44.75
417,-0.3115,0.4852,0.7082,226000000,45.15
418,-0.3108,0.4366,0.6917,226500000,47.65
419,-0.2989,0.3476,0.6752,227000000,38.96
420,-0.3005,0.367,0.6203,227500000,46.25
421,-0.306,0.4505,0.5184,228000000,52.39
422,-0.3282,0.4576,0.4759,228500000,41.84
423,-0.3679,0.4451,0.5216,229000000,44.51
424,-0.3856,0.4084,0.5995,229500000,42.64
425,-0.3812,0.3452,0.6514,230000000,45.76
426,-0.3773,0.282,0.6488,230500000,43.45
427,-0.4182,0.2647,0.6664,231000000,43.09
428,-0.455,0.2842,0.7006,231500000,41.75
429,-0.4521,0.3211,0.6929,232000000,41.81
430,-0.4792,0.2705,0.6804,232500000,41.94
431,-0.477,0.2765,0.6479,233000000,40.2
432,-0.4968,0.344,0.6453,233500000,40.27
433,-0.4912,0.372,0.6158,234000000,41.93
434,-0.4766,0.3243,0.5894,234500000,45.55
435,-0.4562,0.3476,0.5637,235000000,42.7
436,-0.4548,0.2947,0.5496,235500000,42.16
437,-0.4392,0.2801,0.518,236000000,43.85
438,-0.4843,0.3564,0.47,236500000,41.88
439,-0.4987,0.3709,0.3893,237000000,39.34
440,-0.4961,0.4019,0.3952,237500000,38.63
441,-0.4427,0.3906,0.3714,238000000,37.86
442,-0.4201,0.3979,0.3131,238500000,35.82
443,-0.3859,0.3961,0.291,239000000,37.28
444,-0.3969,0.3723,0.2832,239500000,39.16
445,-0.3756,0.3551,0.348,240000000,39.65
446,-0.3537,0.2988,0.4387,240500000,39.82
447,-0.3457,0.2375,0.4932,241000000,39.81
448,-0.3446,0.1994,0.5161,241500000,40.06
449,-0.3101,0.203,0.5102,242000000,40.85
450,-0.3066,0.2338,0.4595,242500000,40.74
